sbi08,omschr,sectie,afdeling,sbi08_3,sbi08_4,sector
45311,"Groothandel en handelsbemiddeling in auto-onderdelen, -acc.",G,45,453,4531,05
45312,Groothandel en handelsbemiddeling in banden,G,45,453,4531,05
4532,Detailhandel in auto-onderdelen en -accessoires,G,45,453,4532,05
45401,"Groothandel , handelsbemiddeling in motorfietsen, onderdelen",G,45,454,4540,05
45402,"Detailhandel in en reparatie van motorfietsen, onderdelen",G,45,454,4540,05
4611,"Handelsbemiddeling in landbouwproducten, levende dieren",G,46,461,4611,05
4612,"Handelsbemiddeling in brandstoffen, ertsen, metalen e.d.",G,46,461,4612,05
4613,"Handelsbemiddeling in hout, vlakglas, sanitair en bouwmat.",G,46,461,4613,05
4614,"Handelsbemiddeling in machines, technische benodigdheden",G,46,461,4614,05
4615,"Handelsbemiddeling in meubels, huishoudelijke artikelen",G,46,461,4615,05
4616,"Handelsbemiddeling in textiel, kleding, schoeisel en lederw.",G,46,461,4616,05
4617,Handelsbemiddeling in voedings- en genotmiddelen,G,46,461,4617,05
4618,Handelsbemiddeling gespecialiseerd in overige goederen,G,46,461,4618,05
4619,Niet-gespecialiseerde handelsbemiddeling,G,46,461,4619,05
46211,Groothandel in granen,G,46,462,4621,05
46212,"Groothandel in zaden, pootgoed en peulvruchten",G,46,462,4621,05
46213,"Groothandel in hooi, stro en ruwvoeder",G,46,462,4621,05
46214,Groothandel in meng- en krachtvoeder,G,46,462,4621,05
46215,"Groothandel in veevoeder (geen ruw-, meng- en krachtvoeder)",G,46,462,4621,05
46216,"Groothandel in ruwe plantaardige, dierlijke oliën en vetten",G,46,462,4621,05
46217,Groothandel in ruwe tabak,G,46,462,4621,05
46218,Groothandel in akkerbouwproducten en veevoeder algemeen,G,46,462,4621,05
46219,Groothandel in overige akkerbouwproducten,G,46,462,4621,05
4622,Groothandel in bloemen en planten,G,46,462,4622,05
46231,Groothandel in levend vee,G,46,462,4623,05
46232,"Groothandel in huisdieren, siervissen, siervogels",G,46,462,4623,05
46241,Groothandel in huiden en vellen,G,46,462,4624,05
46242,Groothandel in leer en halffabrikaten van leer,G,46,462,4624,05
46311,Groothandel in groenten en fruit,G,46,463,4631,05
46312,Groothandel in consumptie-aardappelen,G,46,463,4631,05
4632,Groothandel in vlees en vleeswaren en in wild en gevogelte,G,46,463,4632,05
46331,Groothandel in zuivelproducten en spijsoliën en -vetten,G,46,463,4633,05
46332,Groothandel in eieren,G,46,463,4633,05
